	Mrf#	Mfr.	Order Qty.	Unit Price(USD)	Ext.Price(USD)	Description	Product Link
1	U.FL-R-SMT-1(80)	HRS	5	0.1089	0.54	Connector Receptacle IPEX Male Pin 50? Surface Mount	https://www.lcsc.com/product-detail/C88374.html
2	CL31B104KBCNNNC	Samsung Electro-Mechanics	20	0.0222	0.44	100nF ±10% 50V Ceramic Capacitor X7R 1206	https://www.lcsc.com/product-detail/C24497.html
3	CL10A106KO8NQNC	Samsung Electro-Mechanics	10	0.0433	0.43	10uF ±10% 16V Ceramic Capacitor X5R 0603	https://www.lcsc.com/product-detail/C962136.html
4	0603L050/9V	YTL	20	0.0359	0.72	9V 500mA 40A 1A 100m? 0603 PTC Resettable Fuses RoHS	https://www.lcsc.com/product-detail/C49318281.html
5	69144-304LF	Amphenol	1	2.2650	2.27	Open-Top 2.54mm Shunts, Jumpers RoHS	https://www.lcsc.com/product-detail/C19305261.html
6	PZ254V-11-04P	XFCN	20	0.0254	0.51	Pin Header 4 Position 2.54mm Pitch Single Row Through Hole -40?~+105?	https://www.lcsc.com/product-detail/C2691448.html
7	2.54	BOOMELE(Boom Precision Elec)	50	0.0097	0.49	Open-Top 2.54mm P=2.54mm Shunts, Jumpers RoHS	https://www.lcsc.com/product-detail/C5305.html
8	ERJ2GE0R00X	PANASONIC	100	0.0047	0.47	100mW 0? Thick Film Resistor -100ppm/?~+600ppm/? 0402 Chip Resistor - Surface Mount RoHS	https://www.lcsc.com/product-detail/C242160.html
9	8205A	JSMSEMI	10	0.0378	0.38	N-Channel Array 20V 9A 2W Surface Mount SOT-23-6	https://www.lcsc.com/product-detail/C2762931.html
10	RC0603FR-07100RL	YAGEO	100	0.0022	0.22	100mW 100? 75V Thick Film Resistor ±100ppm/? ±1% 0603 Chip Resistor - Surface Mount RoHS	https://www.lcsc.com/product-detail/C105588.html
11	RTX031001BETP	RALEC	50	0.0156	0.78	100mW 1k? ±0.1% 0603 Chip Resistor - Surface Mount RoHS	https://www.lcsc.com/product-detail/C7422246.html
12	VGdd79S868N0S1	Vollgo	1	3.4860	3.49	868MHz -129dBm SPI SMD,11.5x11.5mm RF Transceiver Modules and Modems RoHS	https://www.lcsc.com/product-detail/C2848400.html
13	nrf52840 ProMicro/SuperMini	aliexpress	1	2.83	2.83	-	https://aliexpress.com/item/1005007078900079.html
14	DW01A-JSM	JSMSEMI	50	0.0202	1.01	Battery Protection IC Lithium Battery SOT-23-6	https://www.lcsc.com/product-detail/C39846919.html
15	CN3163	CONSONANCE	5	0.2578	1.29	Battery Charging IC Lithium Battery ESOP-8	https://www.lcsc.com/product-detail/C559031.html
16	LORAWAN antenna 	aliexpress	2pc lot	6.05	6.05	Antenna 1 Cable	https://aliexpress.com/item/1005007273656690.html
17	Battery	aliexpress	1	6.60	6.60	2000mah 103450 lipo cell	https://aliexpress.com/item/1005011979367691.html
18	screws	aliexpress	2	2.03	4.06	m3 5mm and 14mm	https://aliexpress.com/item/1005008810897680.html
19	heat insert	aliexpress	1	2.13	2.13	M3 3mm length and od 4.5mm	https://aliexpress.com/item/1005008318487697.html
total					34.71		
